måned,fjøsangerveien
2008-06,903
2008-07,606
2008-08,951
2008-09,1125
2008-10,828
2008-11,562
2008-12,277
2009-01,408
2009-02,319
2009-03,629
2009-04,942
2009-05,1024
2009-06,1165
2009-07,703
2009-08,1076
2009-09,1107
2009-10,863
2009-11,752
2009-12,394
2010-01,117
2010-02,157
2010-03,339
2010-04,987
2010-05,1114
2010-06,1223
2010-07,643
2010-08,1087
2010-09,1146
2010-10,667
2010-11,482
2010-12,166
2011-01,231
2011-02,346
2011-03,469
2011-04,723
2011-05,1018
2011-06,850
2011-07,550
2011-08,1015
2011-09,863
2011-10,645
2011-11,630
2011-12,217
2012-01,351
2012-02,293
2012-03,577
2012-04,684
2012-05,987
2012-06,958
2012-07,542
2012-08,962
2012-09,736
2012-10,632
2012-11,518
2012-12,162
2013-01,359
2013-02,342
2013-03,402
2013-04,669
2013-05,849
2013-06,899
2013-07,549
2013-08,966
2013-09,888
2013-10,719
2013-11,471
2013-12,280
2014-01,482
2014-02,479
2014-03,658
2014-04,844
2014-05,1012
2014-06,1050
2014-07,669
2014-08,981
2014-09,1071
2014-10,752
2014-11,603
2014-12,291
2015-01,383
2015-02,395
2015-03,588
2015-04,817
2015-05,832
2015-06,959
2015-07,733
2015-08,1083
2015-09,1132
2015-10,853
2015-11,652
2015-12,355
2016-01,331
2016-02,410
2016-03,506
2016-04,1007
2016-05,1120
2016-06,1228
2016-07,544
2016-08,1023
2016-09,1106
2016-10,836
2016-11,556
2016-12,409
2017-01,481
2017-02,539
2017-03,602
2017-04,635
2017-05,1099
2017-06,979
2017-07,597
