måned,håvardstun
2008-06,482
2008-07,316
2008-08,409
2008-09,410
2008-10,254
2008-11,163
2008-12,88
2009-01,109
2009-02,98
2009-03,207
2009-04,416
2009-05,453
2009-06,558
2009-07,350
2009-08,465
2009-09,266
2009-10,220
2009-11,219
2009-12,126
2010-01,47
2010-02,53
2010-03,117
2010-04,362
2010-05,555
2010-06,597
2010-07,351
2010-08,550
2010-09,474
2010-10,266
2010-11,172
2010-12,62
2011-01,58
2011-02,133
2011-03,191
2011-04,436
2011-05,556
2011-06,467
2011-07,361
2011-08,538
2011-09,412
2011-10,304
2011-11,282
2011-12,111
2012-01,172
2012-02,148
2012-03,314
2012-04,404
2012-05,589
2012-06,536
2012-07,361
2012-08,532
2012-09,355
2012-10,285
2012-11,283
2012-12,93
2013-01,167
2013-02,147
2013-03,212
2013-04,376
2013-05,568
2013-06,616
2013-07,404
2013-08,561
2013-09,469
2013-10,376
2013-11,244
2013-12,147
2014-01,223
2014-02,211
2014-03,323
2014-04,432
2014-05,529
2014-06,559
2014-07,354
2014-08,504
2014-09,516
2014-10,325
2014-11,294
2014-12,129
2015-01,163
2015-02,181
2015-03,284
2015-04,387
2015-05,425
2015-06,496
2015-07,289
2015-08,513
2015-09,498
2015-10,349
2015-11,223
2015-12,147
2016-01,155
2016-02,178
2016-03,193
2016-04,405
2016-05,505
2016-06,501
2016-07,231
2016-08,406
2016-09,384
2016-10,274
2016-11,181
2016-12,141
