måned,månedsdøgntrafikk
2008-07,644
2008-08,947
2008-09,1019
2008-10,686
2008-11,444
2008-12,217
2009-01,323
2009-02,241
2009-03,534
2009-04,815
2009-05,788
2009-06,870
2009-07,448
2009-08,657
2009-09,620
2009-10,448
2009-11,381
2009-12,206
2010-01,41
2010-02,60
2010-03,171
2010-04,606
2010-05,722
2010-06,763
2010-07,392
2010-08,669
2010-09,634
2010-10,343
2010-11,255
2010-12,77
2011-01,111
2011-02,171
2011-03,256
2011-04,499
2011-05,670
2011-06,553
2011-07,382
2011-08,631
2011-09,493
2011-10,383
2011-11,362
2011-12,114
2012-01,176
2012-02,145
2012-03,359
2012-04,440
2012-05,654
2012-06,610
2012-07,355
2012-08,604
2012-09,418
2012-10,345
2012-11,267
2012-12,78
2013-01,181
2013-02,164
2013-03,221
2013-04,396
2013-05,532
2013-06,581
2013-07,373
2013-08,628
2013-09,557
2013-10,446
2013-11,286
2013-12,177
2014-01,286
2014-02,272
2014-03,423
2014-04,547
2014-05,683
2014-06,682
2014-07,449
2014-08,625
2014-09,570
2014-10,420
2014-11,371
2014-12,170
2015-01,221
2015-02,230
2015-03,359
2015-04,513
2015-05,547
2015-06,618
2015-07,400
2015-08,679
2015-09,694
2015-10,518
2015-11,391
2015-12,221
2016-01,225
2016-02,251
2016-03,307
