måned,månedsdøgntrafikk
2009-03,426
2009-04,641
2009-05,705
2009-06,752
2009-07,492
2009-08,715
2009-09,779
2009-10,603
2009-11,502
2009-12,255
2010-01,57
2010-02,88
2010-03,206
2010-04,548
2010-05,692
2010-06,735
2010-07,440
2010-08,741
2010-09,875
2010-10,546
2010-11,409
2010-12,123
2011-01,159
2011-02,246
2011-03,311
2011-04,462
2011-05,635
2011-06,552
2011-07,445
2011-08,731
2011-09,676
2011-10,522
2011-11,457
2011-12,146
2012-01,234
2012-02,210
2012-03,348
2012-04,419
2012-05,601
2012-06,614
2012-07,391
2012-08,668
2012-09,527
2012-10,460
2012-11,332
2012-12,95
2013-01,210
2013-02,206
2013-03,270
2013-04,405
2013-05,469
2013-06,522
2013-07,361
2013-08,610
2013-09,613
2013-10,483
2013-11,314
2013-12,152
2014-01,254
2014-02,273
2014-03,360
2014-04,441
2014-05,541
2014-06,555
2014-07,385
2014-08,529
2014-09,606
2014-10,429
2014-11,341
2014-12,153
2015-01,183
2015-02,195
2015-03,283
2015-04,357
2015-05,360
2015-06,382
2015-07,332
2015-08,556
2015-09,631
2015-10,475
2015-11,346
2015-12,187
2016-01,162
2016-02,204
2016-03,258
